description,material,origin,category,value
Luxury silk scarf with hand-rolled edges,100% silk,IT,fashion_accessories,250
Leather tote bag with suede lining,80% leather; 20% suede,IT,bags,950
Eau de parfum 100ml,alcohol base and fragrance compounds,FR,beauty,120
Artisan dark chocolate gift box,70% cocoa,BE,food,45
Premium leather belt with brass buckle,genuine leather,ES,fashion_accessories,85
Leather driving gloves lined with cashmere,genuine leather outer; cashmere lining,FR,fashion_accessories,195
Perfume gift bag rose scent,fragrance compounds in fabric pouch,CN,beauty,30
Leather coin purse with zip closure,genuine leather,IT,bags,75
Cashmere shawl with fringe trim,100% cashmere,SC,fashion_accessories,310
Vegan leather crossbody bag,polyurethane synthetic leather,CN,bags,65
Organic gummy bears assorted flavours,gelatin; glucose syrup; fruit juice,DE,food,12
Face moisturiser with SPF 30,aqua; glycerin; fragrance; niacinamide,GB,beauty,38
Unscented hand cream fragrance-free,shea butter; aloe vera,GB,beauty,22
Silk shawl collar blazer,polyester outer; silk lining,HK,other,185
Scarf joint cutter set for woodworking,,DE,other,95
